rating,user,blog
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,e11c38f98977
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.5,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,e11c38f98977
3.5,b5f15686d60,e11c38f98977
4.0,b5f15686d60,95b0bf768745
4.0,b5f15686d60,95b0bf768745
4.5,b5f15686d60,d2314d321403
5.0,b5f15686d60,1381784fd679
4.5,b5f15686d60,1df4de6221ac
3.0,b5f15686d60,ca4128c693b4
4.0,b5f15686d60,718eb7391423
3.0,b5f15686d60,718eb7391423
4.0,b5f15686d60,d2bbb86db39b
4.5,b5f15686d60,d2bbb86db39b
5.0,b5f15686d60,d2bbb86db39b
4.0,b5f15686d60,cfecdbffce96
5.0,b5f15686d60,a25946836300
3.5,b5f15686d60,a25946836300
2.5,b5f15686d60,a25946836300
3.5,b5f15686d60,1a0a0f6e69cb
5.0,b5f15686d60,bcf0b61ee4f0
3.0,b5f15686d60,bcf0b61ee4f0
4.0,b5f15686d60,652c340f4503
2.0,b5f15686d60,652c340f4503
3.5,b5f15686d60,2e42c3206223
5.0,b5f15686d60,b3d44075ba87
5.0,b5f15686d60,a27ba55cd0d5
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
3.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.5,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
0.5,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
0.5,b5f15686d60,e11c38f98977
5.0,b5f15686d60,e11c38f98977
5.0,b5f15686d60,e11c38f98977
4.5,b5f15686d60,e11c38f98977
5.0,b5f15686d60,e11c38f98977
0.5,b5f15686d60,e11c38f98977
5.0,b5f15686d60,e11c38f98977
4.5,b5f15686d60,e11c38f98977
5.0,b5f15686d60,e11c38f98977
4.5,b5f15686d60,bc30074fb93d
5.0,b5f15686d60,ca4128c693b4
0.5,b5f15686d60,ca4128c693b4
3.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
1.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
5.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
4.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
3.0,b5f15686d60,2524c43bb922
2.0,b5f15686d60,2524c43bb922
